f [Hz], FR(kf0), FI(kf0), |F(kf0)|
2.01488,3.90862,0,3.90862
2.01527,3.0844,0,3.0844
2.01565,2.12132,0,2.12132
2.01603,1.13781,0,1.13781
2.01642,0.252497,0,0.252497
2.0168,-0.433569,0,0.433569
2.01718,-0.85195,0,0.85195
2.01757,-0.976905,0,0.976905
2.01795,-0.828943,0,0.828943
2.01834,-0.471315,0,0.471315
2.01872,-5.63183e-14,0,5.63183e-14
2.0191,0.471315,0,0.471315
2.01949,0.828943,0,0.828943
2.01987,0.976905,0,0.976905
2.02025,0.85195,0,0.85195
2.02064,0.433569,0,0.433569
2.02102,-0.252497,0,0.252497
